Index,Timestamp,Node2_Demand,Node9_Demand,Node10_Demand,Node11_Demand,Node12_Demand,Node13_Demand,Node21_Demand,Node22_Demand,Node23_Demand,Node31_Demand,Node32_Demand,Link9_Flows,Link10_Flows,Link11_Flows,Link12_Flows,Link21_Flows,Link22_Flows,Link31_Flows,Link110_Flows,Link111_Flows,Link112_Flows,Link113_Flows,Link121_Flows,Link122_Flows,Leak2_Demand,Leak21_Demand,Pressure_Node2,Pressure_Node9,Pressure_Node10,Pressure_Node11,Pressure_Node12,Pressure_Node13,Pressure_Node21,Pressure_Node22,Pressure_Node23,Pressure_Node31,Pressure_Node32,LeakOccurred,
1,2017-01-01 00:00:00,262.8,-424.8,0,21.6,18,14.4,25.2,28.8,21.6,14.4,14.4,424.8,424.8,277.2,10.8,68.4,21.6,14.4,-262.8,122.4,-14.4,-3.6,28.8,0,0,0,36.576,0,89.705,85.198,82.332,83.768,84.008,83.882,85.296,82.924,79.31,0,
2,2017-01-01 00:30:00,280.8,-421.2,0,18,14.4,10.8,21.6,28.8,18,14.4,10.8,421.2,421.2,280.8,7.2,72,21.6,14.4,-280.8,122.4,-25.2,-3.6,28.8,-3.6,0,0,37.285,0,90.406,85.974,83.046,84.526,84.917,84.642,86.064,83.879,80.128,0,
3,2017-01-01 01:00:00,291.6,-417.6,0,18,14.4,10.8,21.6,21.6,18,14.4,10.8,417.6,417.6,280.8,3.6,72,21.6,14.4,-291.6,118.8,-32.4,-3.6,28.8,-3.6,0,0,38.042,0,91.089,86.729,83.805,85.308,85.741,85.439,86.856,84.715,80.967,0,
4,2017-01-01 01:30:00,302.4,-414,0,14.4,10.8,10.8,18,21.6,14.4,10.8,10.8,414,414,280.8,3.6,72,21.6,14.4,-302.4,118.8,-36,-7.2,28.8,-7.2,0,0,38.823,0,91.795,87.51,84.589,86.109,86.669,86.266,87.686,85.724,81.905,0,
5,2017-01-01 02:00:00,306,-410.4,0,14.4,10.8,7.2,18,21.6,14.4,10.8,7.2,410.4,410.4,277.2,0,72,21.6,18,-306,115.2,-39.6,-7.2,25.2,-7.2,0,0,39.634,0,92.462,88.249,85.401,86.925,87.485,87.088,88.507,86.606,82.754,0,
6,2017-01-01 02:30:00,306,-403.2,0,14.4,10.8,7.2,18,18,14.4,10.8,7.2,403.2,403.2,277.2,0,72,21.6,14.4,-306,115.2,-39.6,-7.2,25.2,-7.2,0,0,40.456,0,93.16,89.022,86.223,87.748,88.304,87.914,89.334,87.439,83.603,0,
7,2017-01-01 03:00:00,298.8,-399.6,0,14.4,10.8,7.2,14.4,21.6,14.4,10.8,7.2,399.6,399.6,273.6,0,72,21.6,14.4,-298.8,115.2,-36,-7.2,25.2,-7.2,0,0,41.276,0,93.803,89.732,87.042,88.565,89.069,88.718,90.144,88.134,84.358,0,
8,2017-01-01 03:30:00,288,-399.6,0,14.4,10.8,7.2,18,21.6,14.4,10.8,7.2,399.6,399.6,270,3.6,68.4,21.6,14.4,-288,115.2,-32.4,-7.2,25.2,-7.2,0,0,42.083,0,94.39,90.382,87.845,89.362,89.738,89.496,90.92,88.876,85.112,0,
9,2017-01-01 04:00:00,277.2,-396,0,14.4,10.8,10.8,18,21.6,18,10.8,10.8,396,396,266.4,3.6,68.4,21.6,14.4,-277.2,115.2,-28.8,-3.6,28.8,-3.6,0,0,42.859,0,94.954,91.007,88.619,90.126,90.417,90.245,91.67,89.474,85.768,0,
10,2017-01-01 04:30:00,262.8,-392.4,0,18,14.4,10.8,21.6,21.6,18,10.8,10.8,392.4,392.4,262.8,7.2,64.8,21.6,14.4,-262.8,111.6,-25.2,-3.6,25.2,-3.6,0,0,43.607,0,95.48,91.59,89.364,90.85,91.025,90.96,92.383,90.122,86.437,0,
11,2017-01-01 05:00:00,237.6,-388.8,0,21.6,18,10.8,25.2,25.2,21.6,18,14.4,388.8,388.8,255.6,10.8,61.2,21.6,10.8,-237.6,111.6,-10.8,-3.6,28.8,3.6,0,0,44.317,0,95.888,92.042,90.067,91.507,91.469,91.61,93.035,90.454,86.995,0,
12,2017-01-01 05:30:00,216,-385.2,0,25.2,21.6,14.4,25.2,32.4,25.2,14.4,14.4,385.2,385.2,252,14.4,61.2,25.2,10.8,-216,111.6,0,0,25.2,3.6,0,0,44.957,0,96.325,92.526,90.702,92.097,92.047,92.226,93.622,91.123,87.631,0,
13,2017-01-01 06:00:00,187.2,-385.2,0,28.8,21.6,18,32.4,36,28.8,18,18,385.2,385.2,244.8,18,54,28.8,10.8,-187.2,111.6,18,0,28.8,7.2,0,0,45.535,0,96.638,92.873,91.274,92.591,92.328,92.759,94.115,91.336,87.969,0,
14,2017-01-01 06:30:00,0,-219.6,0,32.4,28.8,21.6,32.4,39.6,32.4,21.6,18,219.6,219.6,118.8,28.8,14.4,25.2,3.6,0,72,61.2,7.2,25.2,14.4,0,0,45.72,0,118.318,116.966,118.797,119.838,118.488,119.912,121.312,117.664,114.515,0,
15,2017-01-01 07:00:00,0,-248.4,0,36,32.4,21.6,32.4,43.2,39.6,21.6,21.6,248.4,248.4,133.2,32.4,18,28.8,7.2,0,79.2,68.4,10.8,28.8,14.4,0,0,45.72,0,115.615,113.951,115.492,116.425,115.163,116.52,117.871,114.224,111.06,0,
16,2017-01-01 07:30:00,0,-277.2,0,39.6,36,25.2,36,46.8,39.6,25.2,21.6,277.2,277.2,147.6,32.4,21.6,32.4,7.2,0,86.4,75.6,10.8,32.4,18,0,0,45.72,0,112.421,110.392,111.614,112.449,111.202,112.552,113.89,109.931,106.777,0,
17,2017-01-01 08:00:00,0,-288,0,43.2,36,25.2,39.6,50.4,43.2,28.8,25.2,288,288,154.8,36,21.6,32.4,7.2,0,93.6,82.8,10.8,32.4,18,0,0,45.72,0,110.87,108.667,109.738,110.504,109.24,110.593,111.923,107.797,104.613,0,
18,2017-01-01 08:30:00,0,-306,0,43.2,39.6,25.2,43.2,57.6,46.8,25.2,25.2,306,306,165.6,36,21.6,32.4,7.2,0,97.2,86.4,10.8,32.4,18,0,0,45.72,0,108.343,105.857,106.64,107.309,106.095,107.412,108.717,104.672,101.441,0,
19,2017-01-01 09:00:00,0,-313.2,0,46.8,43.2,25.2,43.2,54,46.8,28.8,25.2,313.2,313.2,169.2,39.6,21.6,36,7.2,0,100.8,86.4,10.8,36,18,0,0,45.72,0,107.378,104.785,105.492,106.149,104.967,106.273,107.566,103.463,100.27,0,
20,2017-01-01 09:30:00,0,-342,0,50.4,46.8,32.4,43.2,61.2,50.4,28.8,28.8,342,342,183.6,43.2,25.2,39.6,10.8,0,108,93.6,10.8,36,21.6,0,0,45.72,0,103.593,100.583,100.909,101.366,100.324,101.548,102.782,98.675,95.344,0,
21,2017-01-01 10:00:00,0,-320.4,0,43.2,43.2,32.4,43.2,57.6,46.8,28.8,28.8,320.4,320.4,172.8,39.6,25.2,36,7.2,0,104.4,90,10.8,36,21.6,0,0,45.72,0,106.48,103.788,104.341,104.877,103.788,105.066,106.32,102.115,98.884,0,
22,2017-01-01 10:30:00,0,-342,0,46.8,46.8,32.4,43.2,64.8,46.8,36,28.8,342,342,187.2,43.2,25.2,36,7.2,0,111.6,97.2,10.8,39.6,21.6,0,0,45.72,0,103.222,100.17,100.395,100.849,99.773,101.007,102.281,97.764,94.574,0,
23,2017-01-01 11:00:00,0,-338.4,0,46.8,43.2,32.4,46.8,61.2,50.4,32.4,28.8,338.4,338.4,183.6,43.2,25.2,39.6,7.2,0,108,97.2,10.8,36,21.6,0,0,45.72,0,103.801,100.814,101.123,101.536,100.446,101.728,102.959,98.703,95.48,0,
24,2017-01-01 11:30:00,0,-320.4,0,43.2,39.6,28.8,43.2,61.2,46.8,28.8,28.8,320.4,320.4,172.8,39.6,21.6,36,7.2,0,104.4,93.6,14.4,36,21.6,0,0,45.72,0,106.713,104.045,104.66,105.247,104.05,105.351,106.635,102.451,99.201,0,
25,2017-01-01 12:00:00,0,-309.6,0,39.6,39.6,32.4,43.2,54,43.2,25.2,28.8,309.6,309.6,169.2,39.6,21.6,32.4,7.2,0,100.8,86.4,7.2,36,21.6,0,0,45.72,0,108.049,105.53,106.246,106.843,105.684,107.01,108.308,104.194,100.941,0,
26,2017-01-01 12:30:00,0,-309.6,0,43.2,39.6,28.8,43.2,57.6,43.2,28.8,25.2,309.6,309.6,165.6,39.6,21.6,32.4,7.2,0,100.8,86.4,10.8,36,18,0,0,45.72,0,107.901,105.366,106.121,106.76,105.573,106.885,108.185,104.081,100.869,0,
27,2017-01-01 13:00:00,0,-284.4,0,36,36,25.2,39.6,50.4,43.2,25.2,25.2,284.4,284.4,154.8,36,21.6,32.4,7.2,0,93.6,82.8,10.8,32.4,18,0,0,45.72,0,111.294,109.138,110.19,110.939,109.712,111.047,112.371,108.338,105.145,0,
28,2017-01-01 13:30:00,0,-273.6,0,36,36,25.2,39.6,54,39.6,25.2,21.6,273.6,273.6,147.6,32.4,21.6,28.8,7.2,0,90,79.2,10.8,32.4,18,0,0,45.72,0,112.696,110.699,111.894,112.723,111.432,112.783,114.153,110.226,107.05,0,
29,2017-01-01 14:00:00,0,-262.8,0,36,28.8,21.6,43.2,50.4,36,25.2,21.6,262.8,262.8,140.4,32.4,14.4,25.2,3.6,0,86.4,79.2,10.8,28.8,18,0,0,45.72,0,113.791,111.918,113.265,114.126,112.749,114.169,115.549,111.636,108.506,0,
30,2017-01-01 14:30:00,0,-244.8,0,32.4,32.4,21.6,32.4,46.8,36,21.6,21.6,244.8,244.8,133.2,32.4,18,28.8,7.2,0,79.2,72,7.2,28.8,14.4,0,0,45.72,0,115.963,114.338,115.875,116.801,115.509,116.882,118.255,114.472,111.287,0,
31,2017-01-01 15:00:00,0,-241.2,0,32.4,28.8,21.6,36,43.2,36,21.6,21.6,241.2,241.2,129.6,28.8,14.4,25.2,3.6,0,79.2,68.4,10.8,28.8,14.4,0,0,45.72,0,116.469,114.902,116.515,117.468,116.126,117.54,118.919,115.186,112.049,0,
